carat;depth;table;price;x;y;z
0.93;62.30;58.00;4373.00;6.18;6.22;3.86
1.12;61.10;59.00;4373.00;6.66;6.69;4.08
1.12;62.50;58.00;4373.00;6.58;6.63;4.13
1.02;60.00;57.00;4373.00;6.53;6.57;3.93
0.85;61.80;55.00;4373.00;6.09;6.11;3.77
0.85;61.90;56.00;4373.00;6.03;6.09;3.75
1.32;59.20;61.00;4373.00;7.21;7.14;4.25
1.03;62.20;56.00;4374.00;6.46;6.49;4.03
1.07;61.90;55.00;4374.00;6.53;6.58;4.06
0.93;62.20;55.00;4374.00;6.24;6.27;3.89
1.05;60.20;61.00;4374.00;6.64;6.61;3.99
1.07;61.70;57.00;4374.00;6.59;6.56;4.06
1.07;60.60;60.00;4374.00;6.66;6.63;4.03
1.04;60.70;57.00;4375.00;6.51;6.61;3.98
1.04;61.40;57.00;4375.00;6.48;6.54;4.00
1.04;62.60;58.00;4375.00;6.42;6.49;4.04
1.01;60.00;62.00;4375.00;6.41;6.53;3.88
1.24;62.80;58.00;4375.00;6.88;6.79;4.28
1.24;64.90;60.00;4375.00;6.70;6.63;4.32
1.02;60.50;57.00;4375.00;6.56;6.52;3.95
0.93;63.80;58.00;4375.00;6.14;6.09;3.90
1.11;61.90;57.00;4377.00;6.62;6.66;4.11
0.76;61.70;56.00;4377.00;5.84;5.87;3.61
1.21;62.00;56.00;4377.00;6.84;6.80;4.23
0.83;62.00;54.90;4378.00;6.03;6.04;3.74
1.01;64.10;58.00;4378.00;6.27;6.21;4.00
0.92;61.30;58.00;4379.00;6.19;6.25;3.81
1.00;62.00;57.00;4379.00;6.40;6.34;3.95
0.90;61.40;58.00;4379.00;6.18;6.23;3.81
0.71;61.70;56.00;4380.00;5.71;5.74;3.53
1.02;61.90;58.00;4381.00;6.47;6.42;3.99
0.90;63.00;57.00;4381.00;6.09;6.13;3.85
0.90;63.50;57.00;4381.00;6.11;6.15;3.89
0.90;61.00;63.00;4381.00;6.10;6.13;3.73
0.90;63.30;57.00;4381.00;6.07;6.12;3.86
0.90;62.70;58.00;4381.00;6.09;6.15;3.84
0.90;59.40;62.00;4381.00;6.19;6.24;3.69
0.90;61.50;58.00;4381.00;6.15;6.21;3.80
0.90;62.60;58.00;4381.00;6.11;6.15;3.84
0.90;63.20;55.00;4381.00;6.10;6.14;3.87
0.90;62.70;56.00;4381.00;6.12;6.16;3.85
0.90;61.20;60.00;4381.00;6.14;6.19;3.77
0.90;64.30;59.00;4381.00;6.04;6.09;3.90
1.02;60.00;62.00;4381.00;6.59;6.50;3.93
1.02;65.50;60.00;4381.00;6.27;6.24;4.10
1.02;60.90;61.00;4381.00;6.39;6.31;3.87
1.02;61.50;58.00;4381.00;6.51;6.33;3.95
1.02;62.10;57.00;4381.00;6.41;6.37;3.97
0.90;63.20;54.00;4382.00;6.10;6.17;3.88
0.90;64.00;55.00;4382.00;6.05;6.02;3.86
1.03;62.50;54.00;4382.00;6.46;6.50;4.05
0.90;62.20;63.00;4382.00;6.14;6.23;3.85
0.76;61.80;54.00;4382.00;5.90;5.87;3.64
1.00;62.20;55.00;4383.00;6.39;6.44;3.99
1.09;60.00;59.00;4383.00;6.72;6.77;4.05
1.01;61.00;56.00;4383.00;6.48;6.54;3.97
0.74;61.90;55.00;4383.00;5.79;5.84;3.60
1.01;62.30;59.00;4384.00;6.31;6.37;3.95
1.03;60.70;60.00;4384.00;6.61;6.53;3.99
1.03;61.10;57.00;4384.00;6.55;6.52;3.99
0.90;60.80;59.00;4385.00;6.24;6.19;3.78
1.13;63.50;59.00;4385.00;6.62;6.55;4.18
0.90;59.10;62.00;4385.00;6.33;6.30;3.73
0.90;58.00;61.00;4385.00;6.45;6.34;3.71
1.13;61.70;57.00;4385.00;6.70;6.59;4.13
0.90;61.60;57.00;4385.00;6.25;6.19;3.83
0.90;59.80;55.00;4385.00;6.34;6.30;3.78
0.90;61.80;60.00;4386.00;6.16;6.21;3.82
0.90;61.50;60.00;4386.00;6.13;6.16;3.78
0.91;61.90;56.00;4386.00;6.17;6.21;3.83
1.00;60.20;65.00;4386.00;6.38;6.41;3.85
1.20;62.80;62.00;4387.00;6.69;6.65;4.19
1.44;62.70;55.00;4387.00;7.21;7.18;4.51
0.93;58.30;60.00;4387.00;6.45;6.37;3.74
0.80;61.10;57.00;4388.00;5.97;6.00;3.65
0.96;59.10;58.00;4388.00;6.53;6.44;3.83
1.00;62.70;60.00;4389.00;6.24;6.30;3.93
1.00;62.20;60.00;4389.00;6.34;6.45;3.98
1.00;63.40;56.00;4389.00;6.34;6.37;4.03
1.00;59.00;60.00;4389.00;6.52;6.56;3.86
1.00;63.90;56.00;4389.00;6.28;6.31;4.02
1.00;61.20;62.00;4389.00;6.32;6.36;3.88
0.91;63.50;56.00;4389.00;6.13;6.18;3.91
1.00;58.30;61.00;4390.00;6.56;6.61;3.84
1.10;61.50;55.00;4390.00;6.65;6.68;4.10
0.90;62.20;55.00;4390.00;6.16;6.21;3.85
1.00;63.30;55.00;4390.00;6.29;6.25;3.97
1.12;60.60;60.00;4390.00;6.77;6.73;4.09
1.00;62.20;59.00;4390.00;6.38;6.35;3.96
1.00;60.60;61.00;4390.00;6.44;6.39;3.89
1.13;62.90;57.70;4391.00;6.60;6.64;4.16
1.03;61.70;55.00;4391.00;6.48;6.52;4.01
1.08;58.00;61.00;4391.00;6.72;6.77;3.91
1.21;62.70;57.00;4391.00;6.77;6.72;4.23
1.21;61.80;60.00;4391.00;6.86;6.76;4.21
0.91;61.00;57.00;4392.00;6.20;6.26;3.80
1.00;62.50;55.00;4392.00;6.38;6.41;4.00
1.00;61.00;61.00;4394.00;6.37;6.44;3.91
1.09;61.20;62.00;4395.00;6.63;6.58;4.04
1.09;61.20;62.00;4395.00;6.63;6.58;4.04
1.16;63.70;63.00;4395.00;6.55;6.63;4.20
1.00;63.70;58.00;4395.00;6.31;6.35;4.03
1.03;61.70;56.00;4395.00;6.49;6.53;4.02
0.90;61.00;62.00;4395.00;6.16;6.24;3.78
1.01;58.80;58.00;4395.00;6.59;6.51;3.85
1.01;62.30;60.00;4395.00;6.31;6.25;3.91
0.90;59.60;59.00;4397.00;6.27;6.31;3.75
1.02;61.10;58.00;4397.00;6.45;6.49;3.95
1.02;60.70;57.00;4397.00;6.50;6.54;3.96
1.01;59.30;62.00;4397.00;6.51;6.58;3.88
1.02;59.60;57.00;4398.00;6.65;6.50;3.92
1.02;60.50;58.00;4398.00;6.54;6.58;3.97
1.02;63.30;59.00;4398.00;6.32;6.42;4.03
1.02;62.80;55.00;4398.00;6.40;6.43;4.03
1.02;62.90;56.00;4398.00;6.36;6.43;4.02
1.02;63.00;57.00;4398.00;6.39;6.44;4.04
1.02;62.40;55.00;4398.00;6.44;6.47;4.03
1.02;59.60;59.00;4398.00;6.54;6.59;3.91
1.05;62.90;57.00;4398.00;6.47;6.51;4.08
1.04;64.90;56.00;4398.00;6.39;6.34;4.13
1.02;61.40;54.00;4398.00;6.55;6.52;4.01
1.00;61.80;58.00;4398.00;6.43;6.39;3.96
1.02;63.00;58.00;4398.00;6.43;6.37;4.03
1.02;62.40;57.00;4398.00;6.43;6.40;4.00
1.02;70.60;57.00;4398.00;6.08;6.01;4.27
1.02;60.70;57.00;4398.00;6.54;6.51;3.96
0.77;60.20;58.00;4399.00;5.93;5.97;3.58
1.01;62.40;58.00;4399.00;6.37;6.42;3.99
1.01;64.10;59.00;4399.00;6.31;6.35;4.06
1.01;64.10;62.00;4399.00;6.19;6.26;3.99
1.01;61.00;56.00;4399.00;6.47;6.54;3.97
1.01;59.30;64.00;4399.00;6.47;6.49;3.84
1.14;62.80;58.00;4399.00;6.61;6.56;4.14
0.90;63.80;58.00;4400.00;6.08;6.12;3.89
0.90;58.80;61.00;4400.00;6.28;6.30;3.70
0.90;63.40;58.00;4400.00;6.07;6.11;3.86
1.00;63.50;54.00;4400.00;6.35;6.41;4.05
0.97;62.60;58.00;4400.00;6.24;6.18;3.89
0.31;60.70;61.00;583.00;4.36;4.40;2.66
0.31;63.70;59.00;583.00;4.26;4.31;2.73
0.31;60.80;57.00;583.00;4.38;4.41;2.67
0.31;61.60;56.00;583.00;4.35;4.39;2.69
0.31;59.40;58.00;583.00;4.37;4.45;2.62
0.31;63.00;57.00;583.00;4.27;4.33;2.71
0.31;63.60;54.00;583.00;4.28;4.33;2.74
0.31;58.20;61.00;583.00;4.42;4.45;2.58
0.31;61.90;57.00;583.00;4.32;4.34;2.68
0.31;58.30;61.00;583.00;4.44;4.48;2.60
0.31;62.20;56.00;583.00;4.36;4.39;2.72
0.35;62.50;54.00;583.00;4.50;4.52;2.82
0.35;60.20;58.00;583.00;4.54;4.60;2.75
0.35;62.40;55.00;583.00;4.52;4.55;2.83
0.35;62.20;56.00;583.00;4.48;4.52;2.80
0.35;63.60;54.00;583.00;4.51;4.52;2.87
0.35;63.10;56.00;583.00;4.46;4.51;2.83
0.35;62.30;58.00;583.00;4.49;4.53;2.81
0.35;61.70;58.00;583.00;4.51;4.54;2.79
0.26;60.90;58.00;584.00;4.13;4.15;2.52
0.32;59.90;57.00;584.00;4.47;4.49;2.68
0.32;62.30;55.00;584.00;4.36;4.38;2.72
0.50;69.80;55.00;584.00;4.89;4.80;3.38
0.34;62.00;55.00;584.00;4.50;4.53;2.80
0.37;63.10;55.00;584.00;4.59;4.63;2.91
0.37;59.50;61.00;584.00;4.64;4.67;2.77
0.37;63.70;55.00;584.00;4.54;4.56;2.90
0.37;61.40;59.00;584.00;4.55;4.61;2.81
0.34;62.00;58.00;584.00;4.43;4.47;2.76
0.30;61.60;61.00;585.00;4.26;4.31;2.64
1.07;62.00;59.00;4401.00;6.54;6.50;4.04
0.90;60.70;57.00;4401.00;6.21;6.25;3.78
0.90;62.90;54.00;4401.00;6.14;6.16;3.87
1.06;60.10;59.00;4401.00;6.65;6.63;3.99
1.03;63.30;57.00;4401.00;6.37;6.46;4.06
1.07;62.90;59.00;4401.00;6.58;6.51;4.12
0.90;63.90;60.00;4401.00;6.14;6.09;3.91
1.07;62.00;57.00;4401.00;6.58;6.55;4.07
1.06;62.80;57.00;4402.00;6.52;6.56;4.11
1.04;59.90;56.00;4403.00;6.64;6.58;3.96
0.90;61.90;58.00;4403.00;6.20;6.24;3.85
1.04;66.90;62.00;4403.00;6.22;6.15;4.14
1.04;62.10;56.00;4404.00;6.48;6.50;4.03
0.92;63.10;57.00;4404.00;6.11;6.16;3.87
1.02;63.10;59.00;4404.00;6.33;6.39;4.01
1.02;60.70;62.00;4404.00;6.44;6.47;3.92
0.97;62.80;55.00;4404.00;6.25;6.30;3.94
1.51;60.90;56.00;4404.00;7.38;7.26;4.46
1.21;63.30;60.00;4404.00;6.76;6.69;4.26
1.21;61.00;56.00;4404.00;6.91;6.87;4.20
1.15;62.00;58.00;4405.00;6.69;6.73;4.16
1.05;61.70;55.00;4405.00;6.54;6.56;4.04
1.05;61.50;55.00;4405.00;6.53;6.57;4.03
1.00;61.60;61.00;4405.00;6.29;6.35;3.89
0.93;58.80;61.00;4405.00;6.36;6.39;3.75
0.92;62.60;56.00;4405.00;6.20;6.17;3.87
1.06;61.40;57.00;4405.00;6.57;6.52;4.02
0.92;61.90;57.00;4406.00;6.23;6.25;3.86
0.92;58.90;57.00;4406.00;6.35;6.38;3.75
1.03;58.60;61.00;4406.00;6.64;6.60;3.88
1.03;63.40;62.00;4406.00;6.46;6.27;4.05
1.13;60.70;64.00;4406.00;6.68;6.63;4.00
0.90;61.40;62.00;4407.00;6.19;6.05;3.76
1.08;62.60;56.00;4407.00;6.55;6.61;4.12
1.08;60.20;59.00;4407.00;6.60;6.65;3.99
0.77;62.30;56.00;4407.00;5.83;5.89;3.65
1.03;62.10;56.00;4407.00;6.44;6.48;4.01
0.70;61.00;61.00;4407.00;5.69;5.72;3.48
1.23;58.90;62.00;4408.00;7.03;6.97;4.12
0.90;62.40;55.00;4409.00;6.09;6.16;3.82
1.25;62.30;59.00;4410.00;6.86;6.82;4.26
1.05;61.20;57.00;4410.00;6.62;6.55;4.03
1.05;61.20;57.00;4410.00;6.59;6.54;4.02
1.01;61.90;58.00;4412.00;6.38;6.34;3.94
1.01;63.50;59.00;4412.00;6.36;6.31;4.02
1.01;62.30;58.00;4412.00;6.45;6.36;3.99
0.81;62.30;55.00;4412.00;5.97;6.00;3.73
1.01;63.50;56.00;4412.00;6.32;6.27;4.00
1.01;59.10;60.00;4412.00;6.57;6.55;3.88
1.01;60.30;60.00;4412.00;6.49;6.45;3.90
1.06;62.60;59.00;4413.00;6.49;6.57;4.09
1.07;61.20;60.00;4413.00;6.53;6.57;4.01
1.07;62.80;57.00;4413.00;6.50;6.58;4.11
1.00;62.60;57.00;4413.00;6.31;6.37;3.97
1.01;62.50;56.00;4413.00;6.40;6.44;4.01
1.01;56.70;61.00;4413.00;6.68;6.70;3.79
1.08;62.20;57.00;4413.00;6.60;6.56;4.09
1.03;63.50;56.00;4413.00;6.37;6.33;4.03
1.03;59.90;60.00;4413.00;6.56;6.50;3.91
1.02;64.20;59.00;4414.00;6.26;6.20;4.00
1.02;58.70;63.00;4414.00;6.61;6.55;3.86
1.08;62.30;58.00;4414.00;6.55;6.52;4.07
1.10;62.50;56.00;4414.00;6.56;6.63;4.12
1.03;61.80;59.00;4414.00;6.43;6.48;3.99
1.03;62.00;58.00;4414.00;6.43;6.51;4.01
1.04;63.10;55.00;4414.00;6.45;6.52;4.09
1.03;59.00;59.00;4414.00;6.55;6.60;3.88
1.08;59.80;59.00;4415.00;6.65;6.73;4.00
1.01;60.00;59.00;4416.00;6.48;6.61;3.93
1.01;62.40;58.00;4416.00;6.37;6.41;3.99
1.01;63.20;59.00;4416.00;6.35;6.38;4.02
1.01;62.20;59.00;4416.00;6.41;6.45;4.00
1.01;62.60;60.00;4416.00;6.35;6.37;3.98
1.01;62.50;55.00;4416.00;6.39;6.40;4.00
1.01;61.30;60.00;4416.00;6.40;6.43;3.93
1.01;62.20;59.00;4416.00;6.38;6.42;3.98
1.01;61.60;58.00;4416.00;6.39;6.40;3.94
1.01;60.50;57.00;4416.00;6.49;6.53;3.94
1.01;63.90;54.00;4416.00;6.33;6.44;4.08
1.01;62.70;59.00;4416.00;6.35;6.40;4.00
1.01;62.80;60.00;4416.00;6.33;6.40;4.00
1.00;62.20;62.00;4416.00;6.34;6.39;3.96
1.06;62.40;57.00;4416.00;6.54;6.48;4.06
0.83;62.30;56.00;4417.00;5.99;6.02;3.74
1.01;65.30;58.00;4417.00;6.14;6.20;4.03
0.95;60.10;61.00;4418.00;6.35;6.37;3.82
1.15;61.40;58.00;4418.00;6.70;6.75;4.13
1.01;62.10;59.00;4418.00;6.36;6.42;3.97
1.01;62.20;59.00;4418.00;6.44;6.35;3.98
0.90;62.80;57.00;4419.00;6.13;6.16;3.86
1.00;63.70;55.00;4419.00;6.32;6.37;4.04
0.90;59.50;57.00;4419.00;6.19;6.34;3.73
0.90;62.10;57.00;4419.00;6.15;6.18;3.83
1.07;62.40;57.00;4419.00;6.56;6.58;4.10
0.90;61.90;62.00;4419.00;6.15;6.17;3.81
0.92;62.10;60.00;4420.00;6.22;6.21;3.86
0.86;62.20;57.00;4420.00;6.05;6.10;3.78
1.07;61.70;57.00;4421.00;6.55;6.59;4.05
1.10;62.90;58.00;4422.00;6.53;6.56;4.12
1.07;62.40;56.00;4422.00;6.52;6.56;4.08
1.12;60.10;57.00;4422.00;6.82;6.75;4.08
1.12;58.60;58.00;4422.00;6.85;6.81;4.00
1.04;61.40;55.00;4423.00;6.50;6.59;4.02
0.91;63.10;59.00;4423.00;6.19;6.14;3.89
1.17;62.70;57.00;4423.00;6.77;6.69;4.22
1.35;61.00;55.00;4423.00;7.17;7.09;4.35
1.17;61.90;58.00;4423.00;6.77;6.73;4.18
1.35;57.90;60.00;4423.00;7.33;7.29;4.23
1.35;66.50;57.00;4423.00;6.79;6.74;4.50
0.90;60.20;59.00;4424.00;6.28;6.22;3.76
1.03;64.70;63.00;4424.00;6.36;6.31;4.10
0.90;60.00;59.00;4424.00;6.30;6.23;3.76
1.16;61.30;55.00;4425.00;6.79;6.84;4.18
1.01;60.00;55.00;4425.00;6.56;6.53;3.93
1.01;62.30;55.00;4425.00;6.40;6.44;4.00
1.00;61.30;57.00;4425.00;6.40;6.46;3.94
0.93;63.80;59.00;4425.00;6.21;6.15;3.94
1.04;62.10;56.00;4426.00;6.54;6.47;4.04
1.00;62.60;58.00;4426.00;6.33;6.39;3.98
1.04;61.90;58.00;4426.00;6.45;6.47;4.00
0.95;58.00;62.00;4426.00;6.47;6.42;3.74
1.23;62.80;59.00;4426.00;6.76;6.72;4.23
1.04;63.10;60.00;4427.00;6.35;6.42;4.03
1.05;63.50;57.00;4427.00;6.39;6.43;4.07
1.04;60.00;61.00;4427.00;6.50;6.57;3.92
0.90;61.50;60.00;4427.00;6.19;6.17;3.80
1.00;62.30;56.00;4427.00;6.39;6.33;3.96
1.00;60.20;59.00;4427.00;6.50;6.39;3.88
1.00;58.10;65.00;4427.00;6.54;6.48;3.78
1.00;64.30;58.00;4427.00;6.25;6.22;4.01
0.90;62.50;58.00;4428.00;6.09;6.13;3.82
1.28;61.60;57.00;4428.00;6.93;6.96;4.28
0.90;62.20;58.00;4428.00;6.14;6.17;3.83
1.11;61.60;54.00;4428.00;6.66;6.72;4.12
0.91;60.20;60.00;4429.00;6.25;6.30;3.78
0.91;63.00;59.00;4429.00;6.11;6.15;3.86
1.05;59.10;57.00;4429.00;6.63;6.73;3.95
0.91;60.20;58.00;4429.00;6.29;6.31;3.79
0.91;60.80;57.00;4429.00;6.27;6.29;3.82
0.91;60.80;58.00;4430.00;6.21;6.25;3.79
1.13;59.40;58.00;4430.00;6.80;6.74;4.02
1.13;60.20;61.00;4430.00;6.74;6.71;4.05
0.90;60.30;61.00;4432.00;6.22;6.25;3.76
0.90;63.30;57.00;4432.00;6.11;6.15;3.88
0.90;62.00;58.00;4432.00;6.13;6.16;3.81
1.01;61.80;61.00;4432.00;6.40;6.47;3.98
1.01;62.10;60.00;4432.00;6.40;6.44;3.99
1.01;61.90;57.00;4432.00;6.36;6.41;3.95
1.01;63.10;60.00;4432.00;6.37;6.41;4.03
1.07;59.20;57.00;4434.00;6.70;6.64;3.95
1.03;62.20;58.00;4434.00;6.45;6.41;4.00
0.91;63.10;58.00;4434.00;6.17;6.12;3.88
1.01;62.80;57.00;4434.00;6.38;6.35;4.00
1.01;62.50;60.00;4434.00;6.42;6.39;4.00
1.01;63.30;58.00;4434.00;6.39;6.37;4.04
0.91;63.40;55.00;4434.00;6.22;6.18;3.93
1.01;59.60;61.00;4434.00;6.59;6.56;3.92
1.01;62.10;56.00;4434.00;6.43;6.39;3.98
0.91;62.50;61.00;4434.00;6.19;6.10;3.84
1.10;62.60;57.00;4435.00;6.60;6.56;4.12
0.90;61.90;55.00;4435.00;6.22;6.18;3.84
1.02;62.20;58.00;4435.00;6.44;6.48;4.02
1.04;62.90;57.00;4435.00;6.39;6.45;4.04
1.01;59.30;61.00;4435.00;6.56;6.52;3.88
1.01;62.10;60.00;4435.00;6.38;6.35;3.95
0.90;62.20;58.00;4435.00;6.15;6.20;3.84
1.00;60.50;59.00;4435.00;6.44;6.48;3.91
0.90;61.40;55.00;4435.00;6.18;6.16;3.79
0.90;61.40;57.00;4435.00;6.19;6.16;3.79
1.20;58.00;59.00;4435.00;6.98;6.92;4.03
1.10;62.70;58.00;4435.00;6.58;6.54;4.11
1.00;63.10;64.00;4435.00;6.31;6.25;3.96
0.90;58.00;63.00;4435.00;6.33;6.25;3.65
1.00;63.10;58.00;4435.00;6.34;6.20;3.95
1.00;65.10;61.00;4435.00;6.15;6.08;3.98
1.00;69.80;54.00;4435.00;6.03;5.94;4.18
1.00;60.30;62.00;4435.00;6.52;6.43;3.91
1.05;62.10;58.00;4436.00;6.47;6.50;4.03
1.04;60.10;60.00;4436.00;6.53;6.51;3.92
1.01;60.70;62.00;4436.00;6.43;6.49;3.92
1.13;60.00;61.00;4437.00;6.71;6.78;4.05
0.91;60.40;59.00;4437.00;6.22;6.26;3.77
1.15;62.20;59.00;4437.00;6.70;6.62;4.14
1.15;63.80;57.00;4437.00;6.65;6.60;4.23
1.19;61.60;56.00;4438.00;6.87;6.83;4.22
1.01;61.30;56.00;4438.00;6.53;6.45;3.98
0.90;60.90;57.00;4438.00;6.22;6.26;3.80
1.01;62.10;60.00;4439.00;6.43;6.39;3.98
0.70;61.50;56.00;4439.00;5.70;5.78;3.53
0.90;59.10;59.00;4439.00;6.31;6.37;3.75
0.91;65.10;63.00;4439.00;6.02;6.00;3.91
1.07;62.90;61.00;4440.00;6.47;6.41;4.05
0.56;60.70;56.00;4440.00;5.34;5.36;3.25
1.21;60.90;60.00;4440.00;6.82;6.78;4.14
1.01;63.90;55.00;4440.00;6.38;6.33;4.08
1.03;62.50;56.00;4441.00;6.45;6.48;4.04
1.03;61.00;60.00;4441.00;6.46;6.53;3.96
0.90;61.00;61.00;4441.00;6.14;6.18;3.76
1.03;65.50;58.00;4441.00;6.18;6.13;4.03
1.03;61.60;59.00;4441.00;6.49;6.46;3.99
1.03;64.30;58.00;4441.00;6.31;6.28;4.05
1.03;64.30;58.00;4441.00;6.31;6.28;4.05
1.11;62.50;58.00;4442.00;6.59;6.65;4.14
1.07;61.80;56.00;4442.00;6.58;6.63;4.08
1.01;62.40;58.00;4442.00;6.41;6.38;3.99
1.08;60.30;58.00;4442.00;6.72;6.65;4.03
1.20;61.80;60.00;4443.00;6.78;6.85;4.21
1.20;61.50;58.00;4443.00;6.83;6.85;4.21
1.08;61.80;56.20;4443.00;6.55;6.58;4.06
1.02;63.70;62.00;4443.00;6.31;6.40;4.05
1.02;63.10;57.00;4443.00;6.37;6.43;4.04
0.84;60.60;57.00;4443.00;6.06;6.15;3.70
0.90;62.70;60.00;4443.00;6.13;6.03;3.81
1.01;62.20;54.00;4443.00;6.41;6.47;4.01
0.91;62.00;60.00;4444.00;6.12;6.20;3.82
0.80;60.20;54.00;4444.00;6.04;6.01;3.63
1.09;59.40;60.00;4444.00;6.81;6.70;4.01
1.24;62.30;58.00;4444.00;6.84;6.80;4.25
1.01;62.00;60.00;4445.00;6.36;6.41;3.96
1.00;56.50;62.00;4445.00;6.58;6.55;3.71
1.05;61.80;58.00;4445.00;6.51;6.44;4.01
1.07;61.80;58.00;4446.00;6.57;6.51;4.04
1.07;61.30;65.00;4446.00;6.59;6.41;4.00
1.07;61.70;58.00;4446.00;6.58;6.55;4.05
0.90;63.40;57.00;4447.00;6.13;6.10;3.88
0.71;61.70;56.00;4447.00;5.78;5.80;3.57
0.93;60.80;59.00;4448.00;6.27;6.24;3.80
1.06;62.30;56.00;4449.00;6.51;6.56;4.07
0.90;63.00;55.00;4449.00;6.08;6.15;3.85
1.03;62.20;56.00;4449.00;6.51;6.48;4.04
1.13;60.40;56.00;4449.00;6.78;6.72;4.08
1.02;62.60;59.00;4449.00;6.43;6.38;4.01
1.01;62.30;63.00;4449.00;6.30;6.23;3.90
0.92;62.40;60.00;4451.00;6.24;6.16;3.87
1.04;59.50;59.00;4451.00;6.59;6.66;3.94
1.07;62.60;58.00;4451.00;6.49;6.57;4.09
0.85;61.20;60.00;4451.00;6.13;6.10;3.74
0.93;63.80;58.00;4452.00;6.09;6.14;3.90
0.90;62.30;58.00;4452.00;6.17;6.22;3.86
1.06;61.90;59.00;4452.00;6.52;6.50;4.03
1.00;61.60;59.00;4452.00;6.47;6.39;3.96
1.06;61.90;57.00;4452.00;6.61;6.51;4.06
1.00;61.20;57.00;4452.00;6.48;6.39;3.94
1.00;61.30;56.00;4452.00;6.46;6.43;3.95
1.06;62.80;57.00;4452.00;6.57;6.49;4.10
1.06;62.40;58.00;4452.00;6.54;6.50;4.07
1.00;61.30;61.00;4452.00;6.39;6.36;3.91
1.00;61.10;61.00;4452.00;6.38;6.35;3.89
1.00;61.60;61.00;4452.00;6.36;6.33;3.91
1.00;64.00;57.00;4452.00;6.33;6.29;4.04
1.06;59.40;57.00;4452.00;6.67;6.63;3.95
0.91;62.00;54.00;4453.00;6.23;6.26;3.87
1.07;60.00;62.00;4453.00;6.57;6.62;3.96
0.71;62.00;56.00;4454.00;5.72;5.77;3.56
1.03;61.80;56.00;4454.00;6.49;6.46;4.00
1.02;62.70;59.00;4455.00;6.41;6.34;4.00
0.90;62.10;57.00;4455.00;6.17;6.23;3.85
1.08;59.30;57.00;4455.00;6.71;6.74;3.99
1.20;61.90;59.00;4455.00;6.77;6.84;4.21
1.20;60.50;59.00;4455.00;6.79;6.84;4.12
1.08;60.40;57.00;4455.00;6.63;6.68;4.02
1.16;59.60;59.00;4455.00;6.85;6.87;4.09
1.16;63.20;57.00;4455.00;6.66;6.70;4.22
1.04;61.70;56.00;4455.00;6.57;6.52;4.04
0.90;62.60;57.00;4455.00;6.16;6.11;3.84
1.30;63.00;59.00;4455.00;6.97;6.90;4.37
1.17;63.10;58.00;4455.00;6.72;6.64;4.22
0.90;60.60;57.00;4455.00;6.28;6.20;3.78
1.02;62.60;58.00;4455.00;6.42;6.36;4.00
1.04;62.60;58.00;4455.00;6.49;6.42;4.04
1.04;61.40;57.00;4455.00;6.54;6.48;4.00
1.04;60.70;57.00;4455.00;6.61;6.51;3.98
1.02;71.80;56.00;4455.00;6.04;5.97;4.31
1.00;64.90;65.00;4455.00;6.31;6.18;4.05
1.02;61.30;56.00;4455.00;6.52;6.47;3.98
1.11;63.50;60.30;4456.00;6.49;6.58;4.15
1.11;59.80;60.00;4456.00;6.66;6.75;4.01
0.96;63.90;54.00;4456.00;6.27;6.22;3.99
1.09;59.00;58.00;4456.00;6.78;6.72;3.98
1.01;63.50;61.00;4457.00;6.33;6.37;4.03
1.02;61.00;58.00;4457.00;6.48;6.51;3.96
0.92;61.70;56.00;4457.00;6.20;6.23;3.83
1.10;60.50;61.00;4457.00;6.69;6.74;4.06
1.11;61.90;57.00;4457.00;6.66;6.62;4.11
0.70;62.20;57.00;4458.00;5.70;5.74;3.56
1.01;61.50;56.00;4458.00;6.42;6.49;3.97
1.01;62.10;55.00;4458.00;6.42;6.47;4.00
1.03;60.70;60.00;4458.00;6.50;6.55;3.96
1.07;62.10;57.00;4458.00;6.53;6.49;4.04
1.02;61.10;59.00;4459.00;6.41;6.45;3.93
1.06;62.20;55.00;4459.00;6.53;6.56;4.07
1.02;61.50;58.00;4459.00;6.42;6.49;3.97
1.02;62.50;60.00;4459.00;6.36;6.43;4.00
1.02;62.00;58.00;4459.00;6.44;6.47;4.00
0.91;62.20;58.00;4459.00;6.22;6.12;3.85
1.00;61.50;55.60;4459.00;6.41;6.48;3.96
1.02;64.10;58.00;4459.00;6.25;6.32;4.03
1.58;60.20;61.00;4459.00;7.55;7.51;4.53
0.90;63.60;58.00;4460.00;6.12;6.09;3.88
0.90;63.70;56.00;4460.00;6.15;6.07;3.89
0.30;60.80;56.00;585.00;4.35;4.37;2.65
0.30;62.10;55.00;585.00;4.28;4.31;2.67
0.38;61.20;57.00;585.00;4.67;4.71;2.87
0.40;62.90;59.00;585.00;4.68;4.63;2.93
0.28;61.90;55.00;586.00;4.18;4.20;2.60
0.28;60.70;56.00;586.00;4.27;4.29;2.60
0.28;61.60;56.00;586.00;4.18;4.20;2.58
0.28;61.50;56.00;586.00;4.22;4.24;2.60
0.28;62.00;55.00;586.00;4.17;4.22;2.60
0.39;61.80;55.90;586.00;4.66;4.69;2.89
0.31;62.30;54.00;586.00;4.31;4.33;2.69
0.23;61.90;55.00;586.00;3.94;3.98;2.45
0.23;61.50;54.00;586.00;3.96;3.97;2.44
0.37;61.40;56.00;586.00;4.63;4.65;2.85
0.37;61.40;55.00;586.00;4.63;4.68;2.86
